ISSN	Título	Estrato	Área de Avaliação	Status
0102-7158	ABRALIN (Curitiba)	A1	LETRAS / LINGUÍSTICA	Atualizado
0002-0206	African Studies Review	A1	LETRAS / LINGUÍSTICA	Atualizado
1130-3557	Agalia (A Corunha)	A1	LETRAS / LINGUÍSTICA	Atualizado
1461-0213	AILA Review	A1	LETRAS / LINGUÍSTICA	Atualizado
1517-106X	Alea: Estudos Neolatinos (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1807-0299	Alea : Estudos Neolatinos (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
2317-2096	Aletria: Revista de Estudos de Literatura	A1	LETRAS / LINGUÍSTICA	Atualizado
1679-3749	Aletria (UFMG)	A1	LETRAS / LINGUÍSTICA	Atualizado
0002-5216	Alfa: Revista de Linguística (UNESP. Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1981-5794	Alfa: Revista de Linguística (UNESP. Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
0142-6001	Applied Linguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
1794-4724	Avances en Psicologia Latinoamericana	A1	LETRAS / LINGUÍSTICA	Atualizado
2176-4573	Bakhtiniana: Revista de Estudos do Discurso	A1	LETRAS / LINGUÍSTICA	Atualizado
1450-3417	Biolinguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
0278-2626	Brain and Cognition	A1	LETRAS / LINGUÍSTICA	Atualizado
0093-934X	Brain and Language	A1	LETRAS / LINGUÍSTICA	Atualizado
0103-751X	Brasil (Porto Alegre)	A1	LETRAS / LINGUÍSTICA	Atualizado
1475-3820	Bulletin of Spanish Studies (2002. Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
0102-5767	Cadernos de Estudos Linguísticos (UNICAMP)	A1	LETRAS / LINGUÍSTICA	Atualizado
2175-7968	Cadernos de Tradução	A1	LETRAS / LINGUÍSTICA	Atualizado
1414-526X	Cadernos de Tradução (UFSC)	A1	LETRAS / LINGUÍSTICA	Atualizado
0008-4131	Canadian Journal of Linguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
0008-7157	Casa de las Américas	A1	LETRAS / LINGUÍSTICA	Atualizado
0009-8388	Classical Quarterly	A1	LETRAS / LINGUÍSTICA	Atualizado
0269-9206	Clinical Linguistics & Phonetics	A1	LETRAS / LINGUÍSTICA	Atualizado
0010-1451	Colóquio. Letras	A1	LETRAS / LINGUÍSTICA	Atualizado
0011-1600	Critique (Revue)	A1	LETRAS / LINGUÍSTICA	Atualizado
0882-4371	Cultural Critique (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
1678-460X	DELTA. Documentação de Estudos em Linguística Teórica e Aplicada (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
0102-4450	DELTA. Documentação de Estudos em Linguística Teórica e Aplicada (PUCSP. Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1688-7794	Didáskomai: Revista de Investigaciones sobre la Enseñanza	A1	LETRAS / LINGUÍSTICA	Atualizado
1461-4456	Discourse Studies (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
2237-6674	EntreVer - Revista das Licenciaturas	A1	LETRAS / LINGUÍSTICA	Atualizado
1139-3637	Espéculo (Madrid)	A1	LETRAS / LINGUÍSTICA	Atualizado
1518-0158	Estudos de Literatura Brasileira Contemporânea	A1	LETRAS / LINGUÍSTICA	Atualizado
0929-998X	Functions of Language	A1	LETRAS / LINGUÍSTICA	Atualizado
1167-5101	Genesis (Paris. 1992)	A1	LETRAS / LINGUÍSTICA	Atualizado
1413-9073	Gragoatá (UFF)	A1	LETRAS / LINGUÍSTICA	Atualizado
1980-4369	História (São Paulo. Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
1577-3388	Iberoamericana (Madrid)	A1	LETRAS / LINGUÍSTICA	Atualizado
2175-8026	Ilha do Desterro	A1	LETRAS / LINGUÍSTICA	Atualizado
0101-4846	Ilha do Desterro (UFSC)	A1	LETRAS / LINGUÍSTICA	Atualizado
1984-5677	Interfaces Brasil/Canadá	A1	LETRAS / LINGUÍSTICA	Atualizado
1519-0994	Interfaces Brasil/Canadá (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
0020-7071	International Journal of American Linguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
1447-9540	International Journal of Learning (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
1982-0836	Ipotesi (Juiz de Fora. Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
1415-2525	Ipotesi (UFJF. Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
0103-815X	Itinerarios (UNESP. Araraquara)	A1	LETRAS / LINGUÍSTICA	Atualizado
0911-6044	Journal of Neurolinguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
0095-4470	Journal of Phonetics	A1	LETRAS / LINGUÍSTICA	Atualizado
1645-4537	Journal of Portuguese Linguistics	A1	LETRAS / LINGUÍSTICA	Atualizado
0378-2166	Journal of Pragmatics	A1	LETRAS / LINGUÍSTICA	Atualizado
1360-6441	Journal of Sociolinguistics (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
1355-6177	Journal of the International Neuropsychological Society (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
0022-510X	Journal of the Neurological Sciences	A1	LETRAS / LINGUÍSTICA	Atualizado
0458-726X	Langages (Paris. 1966)	A1	LETRAS / LINGUÍSTICA	Atualizado
1535-0665	Language	A1	LETRAS / LINGUÍSTICA	Atualizado
0169-0965	Language and Cognitive Processes (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
0950-0782	Language and Education	A1	LETRAS / LINGUÍSTICA	Atualizado
0963-9470	Language and Literature (Harlow)	A1	LETRAS / LINGUÍSTICA	Atualizado
0023-8309	Language and Speech	A1	LETRAS / LINGUÍSTICA	Atualizado
0097-8507	Language (Baltimore)	A1	LETRAS / LINGUÍSTICA	Atualizado
0954-3945	Language Variation and Change (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
0101-3335	Letras de Hoje (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1984-7726	Letras de Hoje (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
	Letras Hoje	A1	LETRAS / LINGUÍSTICA	Atualizado
1519-4906	Língua e Instrumentos Linguísticos	A1	LETRAS / LINGUÍSTICA	Atualizado
1518-7632	Linguagem em (Dis)curso (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1982-4017	Linguagem em (Dis)curso (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
0024-3841	Lingua (Haarlem. Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
1132-0214	Linguistica (Madrid)	A1	LETRAS / LINGUÍSTICA	Atualizado
0024-3892	Linguistic Inquiry	A1	LETRAS / LINGUÍSTICA	Atualizado
0024-3949	Linguistics (Berlin)	A1	LETRAS / LINGUÍSTICA	Atualizado
0929-7332	Linguistics in the Netherlands (Print)	A1	LETRAS / LINGUÍSTICA	Atualizado
0268-1145	Literary and Linguistic Computing	A1	LETRAS / LINGUÍSTICA	Atualizado
1413-2982	Literatura e Sociedade (USP)	A1	LETRAS / LINGUÍSTICA	Atualizado
0024-7413	Luso-Brazilian Review	A1	LETRAS / LINGUÍSTICA	Atualizado
1983-6821	Machado de Assis em Linha	A1	LETRAS / LINGUÍSTICA	Atualizado
1414-7165	Matraga (Rio de Janeiro)	A1	LETRAS / LINGUÍSTICA	Atualizado
0102-4809	O Eixo e a Roda (UFMG)	A1	LETRAS / LINGUÍSTICA	Atualizado
1414-1906	Pandaemonium Germanicum (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1982-8837	Pandaemonium Germanicum (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
0031-7985	Philologus (Berlin)	A1	LETRAS / LINGUÍSTICA	Atualizado
0333-5372	Poetics Today	A1	LETRAS / LINGUÍSTICA	Atualizado
1521-804X	Portuguese Literary & Cultural Studies	A1	LETRAS / LINGUÍSTICA	Atualizado
0103-183X	Remate de Males	A1	LETRAS / LINGUÍSTICA	Atualizado
1984-6398	Revista Brasileira de Linguistica Aplicada	A1	LETRAS / LINGUÍSTICA	Atualizado
1676-0786	Revista Brasileira de Linguística Aplicada (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
0103-6963	Revista Brasileira de Literatura Comparada	A1	LETRAS / LINGUÍSTICA	Atualizado
1678-1805	Revista da ABRALIN	A1	LETRAS / LINGUÍSTICA	Atualizado
1414-7564	Revista da ANPOLL (Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
1982-7830	Revista da ANPOLL (Online)	A1	LETRAS / LINGUÍSTICA	Atualizado
2237-2083	Revista de Estudos da Linguagem	A1	LETRAS / LINGUÍSTICA	Atualizado
0104-0588	Revista de Estudos da Linguagem	A1	LETRAS / LINGUÍSTICA	Atualizado
0020-3874	Revista do Instituto de Estudos Brasileiros	A1	LETRAS / LINGUÍSTICA	Atualizado
0104-026X	Revista Estudos Feministas (UFSC. Impresso)	A1	LETRAS / LINGUÍSTICA	Atualizado
	Revista Gragoatá (UFF)	A1	LETRAS / LINGUÍSTICA	Atualizado
0034-9631	Revista Iberoamericana	A1	LETRAS / LINGUÍSTICA	Atualizado
